Total Population,Female Population,Male Population,Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),GDP in USD,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
623102900.0,300231625.0,322871275.0,54.8760712487357,68.82178619929722,14.161428621837079,98472796456.884,35447168682.0672,114.558927586439,44.59958342035659,36.9354603977898,1975,India
608802595.0,293362996.0,315439599.0,54.8760712487357,68.82178619929722,14.161428621837079,99525899116.054,38693737483.437,103.992657915658,44.59958342035659,36.4674567926255,1974,India
594770136.0,286636581.0,308133555.0,54.8760712487357,68.82178619929722,14.161428621837079,85515269585.4,35577622781.7245,100.632154133576,44.59958342035659,35.3195829946338,1973,India
581087255.0,280088829.0,300998426.0,54.8760712487357,68.82178619929722,14.161428621837079,71463193831.0092,27603963750.9637,100.305073805138,44.59958342035659,35.2263346566754,1972,India
567868021.0,273769666.0,294098355.0,54.8760712487357,68.82178619929722,14.161428621837079,67350988021.3932,26019970673.5648,97.7727182140443,44.59958342035659,35.1197934323141,1971,India
555189797.0,267712747.0,287477050.0,54.8760712487357,68.82178619929722,14.161428621837079,62422483054.6667,25149777136.2267,335.1825163277327,44.59958342035659,54.656074326897304,1970,India
543084333.0,261932710.0,281151623.0,54.8760712487357,68.82178619929722,14.161428621837079,58447995017.3333,24305554064.2933,335.1825163277327,44.59958342035659,54.656074326897304,1969,India
531513834.0,256412988.0,275100846.0,54.8760712487357,68.82178619929722,14.161428621837079,53085455870.6667,22341559490.7467,335.1825163277327,44.59958342035659,54.656074326897304,1968,India
520400577.0,251117415.0,269283162.0,54.8760712487357,68.82178619929722,14.161428621837079,50134942204.0,21433468907.12,335.1825163277327,44.59958342035659,54.656074326897304,1967,India
509631509.0,245993503.0,263638006.0,54.8760712487357,68.82178619929722,14.161428621837079,45865462034.2857,18507471278.3143,335.1825163277327,44.59958342035659,54.656074326897304,1966,India
499123328.0,241002419.0,258120909.0,54.8760712487357,68.82178619929722,14.161428621837079,59554854575.8085,23455499175.4095,335.1825163277327,44.59958342035659,54.656074326897304,1965,India
488848139.0,236130821.0,252717318.0,54.8760712487357,68.82178619929722,14.161428621837079,56480289940.9899,23351051070.8751,335.1825163277327,44.59958342035659,54.656074326897304,1964,India
478825602.0,231387194.0,247438408.0,54.8760712487357,68.82178619929722,14.161428621837079,48421923459.1235,19284201306.5184,335.1825163277327,44.59958342035659,54.656074326897304,1963,India
469077191.0,226780736.0,242296455.0,54.8760712487357,68.82178619929722,14.161428621837079,42161481858.0819,16470791346.7124,335.1825163277327,44.59958342035659,54.656074326897304,1962,India
459642166.0,222328744.0,237313422.0,54.8760712487357,68.82178619929722,14.161428621837079,39232435784.0358,16121581690.5311,335.1825163277327,44.59958342035659,54.656074326897304,1961,India
450547675.0,218042936.0,232504739.0,54.8760712487357,68.82178619929722,14.161428621837079,37029883876.1839,15456767924.6225,335.1825163277327,44.59958342035659,54.656074326897304,1960,India
