Total Population,Female Population,Male Population,Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),GDP in USD,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
29333095.0,14721777.0,14611318.0,7.808571474892751,6.246071406773159,13.977142810821531,93141478234.6576,5059373901.83241,3678.88216364485,13.732684167742324,89.8817022811823,1981,South Africa
28556771.0,14334902.0,14221869.0,7.808571474892751,6.246071406773159,13.977142810821531,89411894560.978,4742989194.08149,3519.27043852402,13.732684167742324,89.0295474101738,1980,South Africa
27827325.0,13968991.0,13858334.0,7.808571474892751,6.246071406773159,13.977142810821531,63038687892.9693,3153122011.2252,3329.46123998624,13.732684167742324,88.7355332109377,1979,South Africa
27138966.0,13621526.0,13517440.0,7.808571474892751,6.246071406773159,13.977142810821531,51607399957.94,2880749997.65219,3107.5981303046,13.732684167742324,89.0679306618312,1978,South Africa
26480915.0,13288166.0,13192749.0,7.808571474892751,6.246071406773159,13.977142810821531,45328399963.0574,2638099997.84995,2958.81014685482,13.732684167742324,89.0246469725816,1977,South Africa
25836890.0,12962403.0,12874487.0,7.808571474892751,6.246071406773159,13.977142810821531,41150449966.4624,2288499998.13487,2885.40919592103,13.732684167742324,89.2244037146374,1976,South Africa
25195184.0,12639531.0,12555653.0,7.808571474892751,6.246071406773159,13.977142810821531,42906919870.1343,2713967481.22785,2749.17619176744,13.732684167742324,88.7791232808579,1975,South Africa
24552540.0,12318137.0,12234403.0,7.808571474892751,6.246071406773159,13.977142810821531,41389185875.3114,2968459549.49696,2629.5446418171,13.732684167742324,89.1592604020521,1974,South Africa
23913090.0,11999762.0,11913328.0,7.808571474892751,6.246071406773159,13.977142810821531,33262767310.8192,1969856730.66282,2503.64967471791,13.732684167742324,89.4228939751774,1973,South Africa
23281517.0,11686265.0,11595252.0,7.808571474892751,6.246071406773159,13.977142810821531,24515911652.1848,1508991696.72792,2389.2343441366,13.732684167742324,89.1788981397106,1972,South Africa
22665265.0,11380628.0,11284637.0,7.808571474892751,6.246071406773159,13.977142810821531,23411079378.0172,1459697018.07513,2239.90321754456,13.732684167742324,89.6365378545042,1971,South Africa
22069783.0,11084997.0,10984786.0,7.808571474892751,6.246071406773159,13.977142810821531,21218391521.5551,1219399512.75234,3991.581354050453,13.732684167742324,87.40752773031039,1970,South Africa
21496075.0,10799785.0,10696290.0,7.808571474892751,6.246071406773159,13.977142810821531,19256992305.291,1283799487.0194,3991.581354050453,13.732684167742324,87.40752773031039,1969,South Africa
20942147.0,10524045.0,10418102.0,7.808571474892751,6.246071406773159,13.977142810821531,17124793157.2752,1222199511.63352,3991.581354050453,13.732684167742324,87.40752773031039,1968,South Africa
20406863.0,10256911.0,10149952.0,7.808571474892751,6.246071406773159,13.977142810821531,15821393678.0875,1343999462.96469,3991.581354050453,13.732684167742324,87.40752773031039,1967,South Africa
19888259.0,9997049.0,9891210.0,7.808571474892751,6.246071406773159,13.977142810821531,14211394321.4111,1094799562.53999,3991.581354050453,13.732684167742324,87.40752773031039,1966,South Africa
19384838.0,9743491.0,9641347.0,7.808571474892751,6.246071406773159,13.977142810821531,13068994777.8911,971599611.768227,3991.581354050453,13.732684167742324,87.40752773031039,1965,South Africa
18896303.0,9495930.0,9400373.0,7.808571474892751,6.246071406773159,13.977142810821531,11955995222.6234,914199634.70411,3991.581354050453,13.732684167742324,87.40752773031039,1964,South Africa
18423157.0,9254686.0,9168471.0,7.808571474892751,6.246071406773159,13.977142810821531,10854195662.8805,958999616.802933,3991.581354050453,13.732684167742324,87.40752773031039,1963,South Africa
17965733.0,9020208.0,8945525.0,7.808571474892751,6.246071406773159,13.977142810821531,9813996078.52345,879199648.689404,3991.581354050453,13.732684167742324,87.40752773031039,1962,South Africa
17524533.0,8793188.0,8731345.0,7.808571474892751,6.246071406773159,13.977142810821531,9225996313.47639,859599656.521169,3991.581354050453,13.732684167742324,87.40752773031039,1961,South Africa
17099836.0,8574106.0,8525730.0,7.808571474892751,6.246071406773159,13.977142810821531,8748596504.23581,790999683.932346,3991.581354050453,13.732684167742324,87.40752773031039,1960,South Africa
