Total Population,Female Population,Male Population,Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),GDP in USD,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
1402760000.0,682854786.0,719905214.0,26.0699996948242,22.7800006866455,24.1800003051758,13894817549380.3,978614814147.521,1080.45521311811,13.71,76.19176385018748,2018,China
1396215000.0,679486853.0,716728147.0,26.9799995422363,23.6100006103516,24.25,12310409370894.2,918795407202.462,1080.45521311811,13.13,76.19176385018748,2017,China
1387790000.0,675220615.0,712569385.0,27.7000007629395,24.2000007629395,25.2399997711182,11233276536744.7,905097390127.173,1080.45521311811,12.56,76.19176385018748,2016,China
1379860000.0,671212022.0,708647978.0,28.5900001525879,25.0300006866455,25.8799991607666,11061553079871.5,927734103010.839,1080.45521311811,12.18,76.19176385018748,2015,China
1371860000.0,667184667.0,704675333.0,29.5,25.8999996185303,26.8600006103516,10475682920597.7,905464751945.177,3905.31759800563,11.94,87.6704307681854,2014,China
1363240000.0,662872951.0,700367049.0,31.3999996185303,27.8799991607666,27.3199996948242,9570406235659.64,855871281416.443,3757.18508846571,11.45,88.2374925685652,2013,China
1354190000.0,658376480.0,695813520.0,33.5999984741211,30.2199993133545,27.7600002288818,8532229986993.65,777603027771.177,3466.01953935563,11.53,88.4191622067537,2012,China
1345035000.0,653862696.0,691172304.0,34.7999992370605,31.4200000762939,27.1800003051758,7551500124197.17,693050537754.391,3295.78486805176,11.34,88.8983629317114,2011,China
1337705000.0,650275748.0,687429252.0,36.7000007629395,33.3699989318848,26.6200008392334,6087163874510.73,567638801958.554,2943.58995443689,12.26,88.2551986732039,2010,China
1331260000.0,647159372.0,684100628.0,38.0999984741211,34.689998626709,25.9899997711182,5101703073088.97,491609572518.078,2612.45662004417,13.43,87.635694692845,2009,China
1324655000.0,644001246.0,680653754.0,39.5999984741211,36.0900001525879,25.7099990844727,4594307032667.98,467197280426.555,2446.36905458402,14.14,87.2240518182102,2008,China
1317885000.0,640793072.0,677091928.0,40.7999992370605,37.2799987792969,25.5599994659424,3550342737009.53,363774001761.42,2325.92676902765,14.88,87.4078573323802,2007,China
1311020000.0,637560457.0,673459543.0,42.5999984741211,39.060001373291,24.1399993896484,2752131773358.92,292434931647.729,2039.0146603408,16.39,86.8283422182192,2006,China
1303720000.0,634130240.0,669589760.0,44.7999992370605,41.2000007629395,22.9500007629395,2285965892364.2,266120618844.807,1782.31215291627,17.44,85.8727359992899,2005,China
1296075000.0,630545489.0,665529511.0,46.9000015258789,43.2099990844727,21.8700008392334,1955347004965.69,252565293072.202,1585.83878247787,20.17,84.7964546509664,2004,China
1288400000.0,626956157.0,661443843.0,49.0999984741211,45.8600006103516,20.9500007629395,1660287965663.89,205028943699.408,1379.48463210183,23.86,83.2297577410762,2003,China
1280400000.0,623205125.0,657194875.0,50.0099983215332,46.5800018310547,21.0200004577637,1470550015077.93,195605029563.852,1194.85629490784,27.0,81.202125230752,2002,China
1271850000.0,619165993.0,652684007.0,50.0099983215332,46.2700004577637,22.2999992370605,1339395718862.89,187293882700.463,1076.54912135865,28.36,80.1974022674318,2001,China
1262645000.0,614775825.0,647869175.0,50.0099983215332,46.0,22.7900009155273,1211346869600.41,177780193865.964,992.943384720171,29.63,79.8413558376096,2000,China
1252735000.0,610004104.0,642730896.0,50.0999984741211,45.6800003051758,23.6700000762939,1093997267277.1,175748346822.415,913.963447975829,30.506048980242,79.4000083961012,1999,China
1241935000.0,604764109.0,637170891.0,49.7999992370605,45.0299987792969,24.5100002288818,1029043097558.91,176573862811.175,870.617222318398,29.7399014806871,78.9940358838221,1998,China
1230075000.0,598982994.0,631092006.0,49.9000015258789,44.939998626709,24.9400005340576,961603952954.233,172081688484.644,852.740686543503,30.1834816771978,78.9351141704471,1997,China
1217550000.0,592868311.0,624681689.0,50.5,45.3300018310547,24.9500007629395,863746717507.397,166923247059.248,821.080859102296,30.5371754582264,78.9858756104578,1996,China
1204855000.0,586672507.0,618182493.0,52.2000007629395,47.1399993896484,24.5200004577637,734547898224.101,143945822925.024,770.280241190849,29.4721113943924,78.4278583846591,1995,China
1191835000.0,580322015.0,611512985.0,54.2999992370605,49.4599990844727,24.2700004577637,564324670008.238,109898181744.347,727.107359659684,31.2494841669185,77.0450401308995,1994,China
1178440000.0,573790071.0,604649929.0,56.4000015258789,51.7799987792969,24.0200004577637,444731282435.515,85866351838.2307,662.63704558569,31.6777918019623,76.4687872871531,1993,China
1164970000.0,567224558.0,597745442.0,58.5,53.8499984741211,23.4699993133545,426915712715.856,91056260549.4505,604.693683099136,32.9312779040239,75.4319836058588,1992,China
1150780000.0,560312586.0,590467414.0,59.7000007629395,54.8800010681152,23.3600006103516,383373318083.624,92140201602.7875,548.953753106589,33.2584735412724,74.8319675985941,1991,China
1135185000.0,552721134.0,582463866.0,43.16678530829294,39.240714209420354,24.51000016076225,360857912565.966,95931579346.0803,510.619854913516,34.083614045282,75.709160650649,1990,China
1118650000.0,544679377.0,573970623.0,43.16678530829294,39.240714209420354,24.51000016076225,347768051311.741,85591114645.749,487.373173021052,21.69101242931741,74.3173939465768,1989,China
1101630000.0,536408672.0,565221328.0,43.16678530829294,39.240714209420354,24.51000016076225,312353631207.819,78830830316.8724,461.797518222997,21.69101242931741,74.2352166827206,1988,China
1084035000.0,527858967.0,556176033.0,43.16678530829294,39.240714209420354,24.51000016076225,272972974764.574,71848942733.1839,426.554493166734,21.69101242931741,73.2357105644604,1987,China
1066790000.0,519471732.0,547318268.0,43.16678530829294,39.240714209420354,24.51000016076225,300758100107.246,80117436063.7681,391.351624968363,21.69101242931741,72.2246058893174,1986,China
1051040000.0,511798492.0,539241508.0,43.16678530829294,39.240714209420354,24.51000016076225,309488028132.653,86453492251.7007,362.812071852641,21.69101242931741,71.5674810575362,1985,China
1036825000.0,504855230.0,531969770.0,43.16678530829294,39.240714209420354,24.51000016076225,259946510957.143,81986338178.5714,336.411641308803,21.69101242931741,71.163906074896,1984,China
1023310000.0,498238544.0,525071456.0,43.16678530829294,39.240714209420354,24.51000016076225,230686747153.257,75130342134.0996,317.020257790894,21.69101242931741,69.6064810089214,1983,China
1008630000.0,491049203.0,517580797.0,43.16678530829294,39.240714209420354,24.51000016076225,205089699858.779,67240100091.6031,299.197921933712,21.69101242931741,68.8731857013966,1982,China
993885000.0,483835348.0,510049652.0,43.16678530829294,39.240714209420354,24.51000016076225,195866382432.54,61336696047.619,285.817775698396,21.69101242931741,68.3812488660607,1981,China
981235000.0,477656979.0,503578021.0,43.16678530829294,39.240714209420354,24.51000016076225,191149211575.0,56645039529.1667,281.624687256366,21.69101242931741,69.0747294923113,1980,China
969005000.0,471700516.0,497304484.0,43.16678530829294,39.240714209420354,24.51000016076225,178280594413.043,54737987765.2174,267.374265354668,21.69101242931741,69.6596060679882,1979,China
956165000.0,465460554.0,490704446.0,43.16678530829294,39.240714209420354,24.51000016076225,149540752829.268,41400982231.7073,246.555772277797,21.69101242931741,69.6372321217815,1978,China
943455000.0,459292487.0,484162513.0,43.16678530829294,39.240714209420354,24.51000016076225,174938098826.569,50715900527.5057,220.657053065594,21.69101242931741,67.4793439025195,1977,China
930685000.0,453096478.0,477588522.0,43.16678530829294,39.240714209420354,24.51000016076225,153940455341.506,49814566807.4585,204.030364731354,21.69101242931741,65.0788589397339,1976,China
916395000.0,446155493.0,470239507.0,43.16678530829294,39.240714209420354,24.51000016076225,163431551779.761,52220668889.1279,199.039715406566,21.69101242931741,64.4358141733754,1975,China
900350000.0,438355316.0,461994684.0,43.16678530829294,39.240714209420354,24.51000016076225,144182133387.722,48194982663.6753,174.233353695785,21.69101242931741,61.436959485179,1974,China
881940000.0,429398133.0,452541867.0,43.16678530829294,39.240714209420354,24.51000016076225,138544284708.957,45616768875.0377,175.933736988911,21.69101242931741,61.3246620443714,1973,China
862030000.0,419696503.0,442333497.0,43.16678530829294,39.240714209420354,24.51000016076225,113687586299.051,36853592267.605,163.911928819183,21.69101242931741,60.8595739758203,1972,China
841105000.0,409475913.0,431629087.0,43.16678530829294,39.240714209420354,24.51000016076225,99800958648.1436,33564871232.4316,151.989347346645,21.69101242931741,59.8993427574403,1971,China
818315000.0,398315770.0,419999230.0,43.16678530829294,39.240714209420354,24.51000016076225,92602973434.0726,32224388658.705,1080.45521311811,21.69101242931741,76.19176385018748,1970,China
796025000.0,387362696.0,408662304.0,43.16678530829294,39.240714209420354,24.51000016076225,79705906247.4612,29904947599.3176,1080.45521311811,21.69101242931741,76.19176385018748,1969,China
774510000.0,376753699.0,397756301.0,43.16678530829294,39.240714209420354,24.51000016076225,70846535055.6503,29502802827.1996,1080.45521311811,21.69101242931741,76.19176385018748,1968,China
754550000.0,366879507.0,387670493.0,43.16678530829294,39.240714209420354,24.51000016076225,72881631326.6715,29011292550.1665,1080.45521311811,21.69101242931741,76.19176385018748,1967,China
735400000.0,357394687.0,378005313.0,43.16678530829294,39.240714209420354,24.51000016076225,76720285969.6157,28523844341.5387,1080.45521311811,21.69101242931741,76.19176385018748,1966,China
715185000.0,347401432.0,367783568.0,43.16678530829294,39.240714209420354,24.51000016076225,70436266146.7219,26448127386.4652,1080.45521311811,21.69101242931741,76.19176385018748,1965,China
698355000.0,339068212.0,359286788.0,43.16678530829294,39.240714209420354,24.51000016076225,59708343488.5043,22706962385.2466,1080.45521311811,21.69101242931741,76.19176385018748,1964,China
682335000.0,331140640.0,351194360.0,43.16678530829294,39.240714209420354,24.51000016076225,50706799902.5104,20208790316.0289,1080.45521311811,21.69101242931741,76.19176385018748,1963,China
665770000.0,322953588.0,342816412.0,43.16678530829294,39.240714209420354,24.51000016076225,47209359005.6057,18405231944.1059,1080.45521311811,21.69101242931741,76.19176385018748,1962,China
660330000.0,320153437.0,340176563.0,43.16678530829294,39.240714209420354,24.51000016076225,50056868957.6732,17917783735.4781,1080.45521311811,21.69101242931741,76.19176385018748,1961,China
667070000.0,323234247.0,343835753.0,43.16678530829294,39.240714209420354,24.51000016076225,59716467625.3148,13839467056.6252,1080.45521311811,21.69101242931741,76.19176385018748,1960,China
